State,Overall Homeless,Year,"Total Beds ES, TH, PSH"
AL,3304,2023,4490
AR,2609,2023,3036
AZ,14237,2023,17292
CA,181399,2023,145566
CO,14439,2023,15755
CT,3015,2023,9803
DE,1245,2023,2056
FL,30756,2023,36277
GA,12294,2023,15984
IA,2653,2023,3752
ID,2298,2023,2584
IL,11947,2023,25144
IN,6017,2023,10485
KS,2636,2023,3570
KY,4766,2023,7246
LA,3169,2023,8166
MA,19141,2023,28701
MD,5865,2023,13855
ME,4258,2023,6485
MI,8997,2023,17543
MN,8393,2023,16070
MO,6708,2023,11809
MS,982,2023,1530
MT,2178,2023,2692
NC,9754,2023,13617
ND,784,2023,1291
NE,2462,2023,4070
NH,2441,2023,3814
NJ,10264,2023,13189
NM,3842,2023,7389
NV,8666,2023,7545
NY,103200,2023,155181
OH,11386,2023,28482
OK,4648,2023,5183
OR,20142,2023,16500
PA,12556,2023,25307
RI,1810,2023,2467
SC,4053,2023,5028
SD,1282,2023,1763
TN,9215,2023,9481
TX,27377,2023,37089
UT,3687,2023,5962
VA,6761,2023,10214
VT,3295,2023,3187
WA,28036,2023,31407
WI,4861,2023,8475
WV,1416,2023,2341
WY,532,2023,1137
AL,3752,2022,5090
AR,2459,2022,3080
AZ,13553,2022,15059
CA,171521,2022,140059
CO,10397,2022,15831
CT,2930,2022,9833
DE,2369,2022,2054
FL,25959,2022,35549
GA,10689,2022,15593
IA,2419,2022,3520
ID,1998,2022,2771
IL,9212,2022,24246
IN,5449,2022,10177
KS,2397,2022,3627
KY,3984,2022,6834
LA,7373,2022,12013
MA,15507,2022,28071
MD,5349,2022,14045
ME,4411,2022,7205
MI,8206,2022,17392
MN,7917,2022,19141
MO,5992,2022,11405
MS,1196,2022,1226
MT,1585,2022,2895
NC,9382,2022,13429
ND,610,2022,1384
NE,2246,2022,4005
NH,1605,2022,3012
NJ,8752,2022,14686
NM,2560,2022,5196
NV,7618,2022,6969
NY,74178,2022,125353
OH,10654,2022,28102
OK,3754,2022,5103
OR,17959,2022,15460
PA,12691,2022,25205
RI,1577,2022,2241
SC,3608,2022,4990
SD,1389,2022,1715
TN,10567,2022,9240
TX,24432,2022,35481
UT,3557,2022,6002
VA,6529,2022,10563
VT,2780,2022,1411
WA,25211,2022,30498
WI,4775,2022,8750
WV,1375,2022,2683
WY,648,2022,1113
AL,2556,2021,5179
AR,2139,2021,3378
AZ,5460,2021,14772
CA,57468,2021,129893
CO,8544,2021,15054
CT,2593,2021,9942
DE,1579,2021,1581
FL,21121,2021,34552
GA,5486,2021,15845
IA,2534,2021,3602
ID,1889,2021,2597
IL,7958,2021,23783
IN,4975,2021,9510
KS,1803,2021,3730
KY,2544,2021,6529
LA,2131,2021,7814
MA,15079,2021,27275
MD,4550,2021,13546
ME,2063,2021,5187
MI,6757,2021,17593
MN,6775,2021,18899
MO,4926,2021,11064
MS,626,2021,1416
MT,1801,2021,2617
NC,7249,2021,13475
ND,548,2021,1354
NE,1935,2021,3789
NH,1491,2021,2998
NJ,8262,2021,13231
NM,2747,2021,5489
NV,7090,2021,6553
NY,78920,2021,130959
OH,7915,2021,27376
OK,2694,2021,4371
OR,9048,2021,13262
PA,10339,2021,24721
RI,1267,2021,2177
SC,3207,2021,4949
SD,817,2021,1811
TN,6823,2021,9805
TX,17295,2021,32879
UT,3565,2021,5993
VA,5812,2021,10907
VT,2591,2021,1316
WA,11511,2021,26389
WI,4237,2021,8494
WV,1138,2021,2579
WY,405,2021,1024
AL,3351,2020,6153
AR,2366,2020,2726
AZ,10979,2020,14705
CA,161548,2020,118873
CO,9846,2020,13343
CT,2905,2020,9857
DE,1165,2020,1696
FL,27487,2020,35416
GA,10234,2020,15631
IA,2647,2020,3602
ID,2315,2020,2484
IL,10431,2020,24265
IN,5625,2020,9976
KS,2449,2020,4242
KY,4011,2020,6509
LA,3173,2020,7905
MA,17975,2020,30075
MD,6360,2020,13086
ME,2097,2020,4737
MI,8638,2020,17936
MN,7940,2020,17759
MO,6527,2020,11579
MS,1107,2020,1872
MT,1545,2020,2292
NC,9280,2020,14082
ND,541,2020,1484
NE,2404,2020,3990
NH,1675,2020,2670
NJ,9662,2020,14722
NM,3333,2020,4449
NV,6900,2020,6075
NY,91271,2020,135709
OH,10655,2020,27285
OK,3932,2020,4935
OR,14655,2020,13586
PA,13375,2020,25706
RI,1104,2020,2230
SC,4287,2020,5160
SD,1058,2020,1836
TN,7256,2020,9498
TX,27229,2020,32779
UT,3131,2020,5984
VA,5957,2020,9586
VT,1110,2020,1373
WA,22923,2020,26937
WI,4515,2020,7993
WV,1341,2020,2671
WY,612,2020,1014
AL,3261,2019,5833
AR,2717,2019,3108
AZ,10007,2019,15738
CA,151278,2019,111394
CO,9619,2019,12995
CT,3033,2019,9843
DE,921,2019,1918
FL,28328,2019,36947
GA,10443,2019,15699
IA,2315,2019,3530
ID,2315,2019,2375
IL,10199,2019,24609
IN,5471,2019,9621
KS,2381,2019,4067
KY,4079,2019,6277
LA,2941,2019,8321
MA,18471,2019,29968
MD,6561,2019,12582
ME,2106,2019,4771
MI,8575,2019,19603
MN,7977,2019,17311
MO,6179,2019,11661
MS,1184,2019,1755
MT,1357,2019,2253
NC,9314,2019,13781
ND,557,2019,1237
NE,2365,2019,3809
NH,1396,2019,2447
NJ,8862,2019,13942
NM,3241,2019,4674
NV,7169,2019,6270
NY,92091,2019,134038
OH,10345,2019,27105
OK,3944,2019,5129
OR,15876,2019,14851
PA,13199,2019,25080
RI,1055,2019,2470
SC,4172,2019,5125
SD,995,2019,1676
TN,7467,2019,10281
TX,25848,2019,32228
UT,2798,2019,5939
VA,5783,2019,9692
VT,1089,2019,1407
WA,21577,2019,25491
WI,4538,2019,8045
WV,1397,2019,2752
WY,548,2019,844
AL,3434,2018,6471
AR,2712,2018,3510
AZ,9865,2018,15901
CA,129972,2018,106413
CO,10857,2018,12347
CT,3976,2018,10476
DE,1082,2018,1967
FL,31030,2018,38000
GA,9499,2018,15690
IA,2749,2018,4056
ID,2012,2018,2318
IL,10643,2018,24913
IN,5258,2018,9099
KS,2216,2018,4058
KY,3688,2018,6128
LA,3059,2018,8189
MA,20068,2018,29197
MD,7144,2018,12634
ME,2516,2018,5079
MI,8351,2018,18115
MN,7243,2018,17106
MO,5883,2018,11415
MS,1352,2018,1422
MT,1405,2018,2259
NC,9268,2018,14402
ND,542,2018,1233
NE,2421,2018,3630
NH,1450,2018,2454
NJ,9398,2018,13838
NM,2551,2018,4196
NV,7544,2018,6136
NY,91897,2018,130151
OH,10249,2018,27065
OK,3871,2018,5231
OR,14476,2018,13835
PA,13512,2018,25492
RI,1101,2018,2247
SC,3933,2018,5036
SD,1159,2018,1609
TN,7883,2018,10375
TX,25310,2018,32329
UT,2876,2018,5592
VA,5975,2018,9638
VT,1291,2018,1513
WA,22304,2018,26865
WI,4907,2018,8236
WV,1243,2018,2840
WY,639,2018,790
AL,3793,2017,6563
AR,2467,2017,3185
AZ,8947,2017,14469
CA,131532,2017,104172
CO,10940,2017,13073
CT,3388,2017,10076
DE,994,2017,1814
FL,32190,2017,37676
GA,10174,2017,16398
IA,2756,2017,4335
ID,2037,2017,2522
IL,10798,2017,23689
IN,5438,2017,9759
KS,2287,2017,4014
KY,4025,2017,6827
LA,3305,2017,8226
MA,17565,2017,27926
MD,7247,2017,13989
ME,2280,2017,4942
MI,9051,2017,19474
MN,7668,2017,17890
MO,6037,2017,12057
MS,1472,2017,1683
MT,1529,2017,2257
NC,8962,2017,14626
ND,1089,2017,1664
NE,2501,2017,3674
NH,1456,2017,2499
NJ,8536,2017,13581
NM,2482,2017,4308
NV,7833,2017,6507
NY,89503,2017,129321
OH,10095,2017,26126
OK,4199,2017,5332
OR,13953,2017,13870
PA,14138,2017,27217
RI,1180,2017,2308
SC,3916,2017,5415
SD,943,2017,1815
TN,8309,2017,10999
TX,23548,2017,33636
UT,2852,2017,5316
VA,6067,2017,9759
VT,1225,2017,1566
WA,21112,2017,25747
WI,5027,2017,8699
WV,1309,2017,2883
WY,873,2017,983
AL,4111,2016,6849
AR,2463,2016,3543
AZ,9707,2016,14406
CA,118142,2016,98622
CO,10550,2016,11564
CT,3902,2016,9863
DE,1070,2016,1771
FL,33559,2016,38219
GA,12909,2016,17576
IA,3064,2016,4670
ID,2247,2016,2745
IL,11590,2016,25117
IN,5798,2016,10060
KS,2255,2016,3735
KY,4237,2016,7246
LA,3994,2016,8615
MA,19608,2016,28721
MD,7689,2016,14199
ME,2241,2016,5030
MI,9316,2016,19176
MN,7341,2016,19127
MO,6194,2016,11859
MS,1738,2016,1717
MT,1418,2016,1928
NC,9559,2016,14880
ND,923,2016,1555
NE,2754,2016,3846
NH,1366,2016,2564
NJ,8895,2016,13023
NM,2263,2016,4268
NV,7398,2016,6330
NY,86352,2016,126698
OH,10404,2016,26503
OK,4107,2016,5309
OR,13238,2016,12273
PA,15339,2016,28529
RI,1160,2016,2574
SC,5051,2016,5887
SD,1072,2016,1775
TN,8779,2016,11973
TX,23122,2016,32916
UT,2807,2016,4892
VA,6268,2016,10200
VT,1117,2016,1323
WA,20827,2016,24965
WI,5685,2016,9427
WV,1387,2016,3071
WY,857,2016,1020
AL,3970,2015,6574
AR,2560,2015,3194
AZ,9896,2015,14222
CA,115738,2015,95978
CO,9953,2015,10962
CT,4047,2015,9615
DE,953,2015,1873
FL,35900,2015,38159
GA,13790,2015,17538
IA,3081,2015,4628
ID,1966,2015,2713
IL,13177,2015,24057
IN,5863,2015,9632
KS,2588,2015,4359
KY,4538,2015,7434
LA,4081,2015,8620
MA,21135,2015,28742
MD,8390,2015,13372
ME,2372,2015,5325
MI,10516,2015,18282
MN,7546,2015,19151
MO,6482,2015,11658
MS,1983,2015,1812
MT,1709,2015,1774
NC,10685,2015,15587
ND,1305,2015,1712
NE,2744,2015,3997
NH,1445,2015,2470
NJ,10098,2015,13656
NM,2629,2015,4326
NV,8743,2015,7028
NY,88250,2015,126333
OH,11182,2015,26006
OK,3777,2015,5296
OR,13226,2015,12023
PA,15421,2015,29482
RI,1111,2015,2648
SC,5354,2015,5719
SD,1036,2015,2081
TN,9123,2015,11765
TX,23678,2015,33742
UT,3025,2015,5139
VA,7001,2015,10041
VT,1523,2015,1428
WA,19419,2015,24059
WI,6057,2015,9557
WV,1835,2015,2968
WY,798,2015,1060
AL,4561,2014,6581
AR,2936,2014,3074
AZ,10495,2014,16191
CA,113952,2014,89408
CO,10028,2014,11532
CT,4450,2014,9116
DE,901,2014,1770
FL,41542,2014,37920
GA,16521,2014,16179
IA,3122,2014,4741
ID,2104,2014,2603
IL,13107,2014,24898
IN,5971,2014,9764
KS,2783,2014,4576
KY,5089,2014,7328
LA,4606,2014,9137
MA,21237,2014,27349
MD,7856,2014,12990
ME,2726,2014,5179
MI,12227,2014,19231
MN,8377,2014,18257
MO,7282,2014,12889
MS,2226,2014,2137
MT,1745,2014,1901
NC,11491,2014,15321
ND,1258,2014,1586
NE,3026,2014,4479
NH,1376,2014,2472
NJ,11671,2014,13265
NM,2746,2014,4096
NV,8582,2014,7992
NY,80590,2014,113001
OH,11823,2014,24897
OK,4191,2014,5222
OR,12164,2014,12749
PA,15333,2014,27502
RI,1190,2014,2701
SC,5057,2014,5209
SD,885,2014,2273
TN,9415,2014,11330
TX,28495,2014,34499
UT,3081,2014,4955
VA,7020,2014,9792
VT,1559,2014,1632
WA,18442,2014,23887
WI,6055,2014,9115
WV,2013,2014,3171
WY,757,2014,1051
AL,4689,2013,6438
AR,3812,2013,3508
AZ,10562,2013,15528
CA,118552,2013,86290
CO,9754,2013,10507
CT,4448,2013,9259
DE,946,2013,1802
FL,47862,2013,37852
GA,16971,2013,15876
IA,3084,2013,4893
ID,1781,2013,2540
IL,13425,2013,24208
IN,6096,2013,9980
KS,2693,2013,4316
KY,5245,2013,7806
LA,5226,2013,9315
MA,19029,2013,26749
MD,8205,2013,13142
ME,3016,2013,5432
MI,11527,2013,18819
MN,8214,2013,17121
MO,8581,2013,12876
MS,2403,2013,2270
MT,1878,2013,2076
NC,12168,2013,15480
ND,2069,2013,1299
NE,3145,2013,4575
NH,1447,2013,2317
NJ,12002,2013,12762
NM,2819,2013,3949
NV,7039,2013,6502
NY,77430,2013,107864
OH,12325,2013,24133
OK,4408,2013,5224
OR,13822,2013,13111
PA,15086,2013,27662
RI,1384,2013,2779
SC,6544,2013,5830
SD,1094,2013,2202
TN,9528,2013,11294
TX,29615,2013,33491
UT,3277,2013,4826
VA,7625,2013,10099
VT,1454,2013,1957
WA,17760,2013,23707
WI,6104,2013,9201
WV,2240,2013,3156
WY,953,2013,1103
AL,5209,2012,6872
AR,4214,2012,3731
AZ,11302,2012,15293
CA,120098,2012,97027
CO,16768,2012,9503
CT,4209,2012,8802
DE,1008,2012,1737
FL,55170,2012,36986
GA,20516,2012,14336
IA,2928,2012,4673
ID,1968,2012,2465
IL,14144,2012,24661
IN,6259,2012,9969
KS,2684,2012,4268
KY,5230,2012,8044
LA,7772,2012,8795
MA,17501,2012,25615
MD,9454,2012,11925
ME,2393,2012,4735
MI,12592,2012,19242
MN,7744,2012,16328
MO,10237,2012,12646
MS,2413,2012,1900
MT,1833,2012,1921
NC,13524,2012,14256
ND,688,2012,1220
NE,3789,2012,4489
NH,1496,2012,2222
NJ,13025,2012,12478
NM,3245,2012,4229
NV,8497,2012,7104
NY,69566,2012,99316
OH,13977,2012,24964
OK,5032,2012,4984
OR,15828,2012,12909
PA,14736,2012,26698
RI,1277,2012,3064
SC,4915,2012,6440
SD,859,2012,2058
TN,9426,2012,10756
TX,34052,2012,33084
UT,3527,2012,4729
VA,8424,2012,10360
VT,1160,2012,1490
WA,20504,2012,25324
WI,6027,2012,8794
WV,2410,2012,2863
WY,1813,2012,1047
AL,5558,2011,6996
AR,3424,2011,3766
AZ,10504,2011,13439
CA,125128,2011,91989
CO,15116,2011,9283
CT,4456,2011,8627
DE,1035,2011,1677
FL,56687,2011,35582
GA,20975,2011,16679
IA,3134,2011,4876
ID,2199,2011,2434
IL,14009,2011,23776
IN,6196,2011,9415
KS,2511,2011,4069
KY,6034,2011,8472
LA,9291,2011,8210
MA,16664,2011,24690
MD,10208,2011,12158
ME,2447,2011,4734
MI,13185,2011,26621
MN,7495,2011,15650
MO,8989,2011,11972
MS,2306,2011,1680
MT,1768,2011,1537
NC,12896,2011,14550
ND,603,2011,1218
NE,3548,2011,4625
NH,1469,2011,2407
NJ,14137,2011,11537
NM,3601,2011,4243
NV,9150,2011,7078
NY,63445,2011,103522
OH,13030,2011,23431
OK,4625,2011,4419
OR,17254,2011,12254
PA,15096,2011,26085
RI,1070,2011,3013
SC,5093,2011,5257
SD,826,2011,1600
TN,9113,2011,10443
TX,36911,2011,33192
UT,3130,2011,4498
VA,8816,2011,10392
VT,1144,2011,1292
WA,20439,2011,25213
WI,5785,2011,9144
WV,2211,2011,2682
WY,1038,2011,880
AL,6046,2010,6376
AR,2762,2010,3598
AZ,13711,2010,13382
CA,123480,2010,89847
CO,15482,2010,9029
CT,4316,2010,8182
DE,982,2010,1588
FL,57551,2010,33448
GA,19836,2010,14356
IA,3014,2010,4863
ID,2346,2010,2311
IL,14395,2010,24202
IN,6452,2010,10165
KS,2024,2010,3791
KY,6623,2010,8173
LA,12482,2010,7964
MA,16646,2010,24366
MD,10845,2010,10962
ME,2379,2010,4594
MI,13058,2010,23766
MN,7869,2010,15161
MO,8122,2010,11327
MS,2743,2010,1681
MT,1615,2010,1399
NC,12191,2010,13296
ND,799,2010,1330
NE,3877,2010,4135
NH,1574,2010,2235
NJ,13737,2010,9616
NM,3475,2010,3963
NV,11205,2010,5776
NY,65606,2010,99215
OH,12569,2010,22699
OK,5229,2010,4191
OR,19492,2010,12433
PA,14516,2010,23872
RI,1282,2010,2519
SC,4473,2010,4796
SD,731,2010,1636
TN,10276,2010,9021
TX,35121,2010,28761
UT,3284,2010,4368
VA,9080,2010,9892
VT,1220,2010,1101
WA,22878,2010,25614
WI,6333,2010,7983
WV,2264,2010,2493
WY,579,2010,1027
AL,6080,2009,6165
AR,2852,2009,3366
AZ,14721,2009,12952
CA,123678,2009,88481
CO,15268,2009,8688
CT,4605,2009,8112
DE,1130,2009,1478
FL,55599,2009,31682
GA,20360,2009,14674
IA,3380,2009,5079
ID,1939,2009,2326
IL,14055,2009,23232
IN,6984,2009,9452
KS,1892,2009,2074
KY,5999,2009,7861
LA,12504,2009,7596
MA,15482,2009,23339
MD,11698,2009,10697
ME,2444,2009,4570
MI,14005,2009,21598
MN,7718,2009,14235
MO,6959,2009,10560
MS,2797,2009,1758
MT,1196,2009,1438
NC,12918,2009,12607
ND,773,2009,1266
NE,3718,2009,3764
NH,1645,2009,2222
NJ,13169,2009,9365
NM,3475,2009,3891
NV,11089,2009,10166
NY,61067,2009,94325
OH,12700,2009,21527
OK,4838,2009,4095
OR,17309,2009,14504
PA,15096,2009,23590
RI,1607,2009,2720
SC,4473,2009,5449
SD,731,2009,1636
TN,10532,2009,8156
TX,36761,2009,28505
UT,3795,2009,4644
VA,8852,2009,9839
VT,1214,2009,1229
WA,22782,2009,24474
WI,6525,2009,8012
WV,1667,2009,2299
WY,515,2009,835
AL,5387,2008,6718
AR,3255,2008,3359
AZ,12488,2008,13281
CA,136531,2008,78917
CO,14747,2008,8824
CT,4627,2008,7563
DE,933,2008,1499
FL,50158,2008,30823
GA,19095,2008,13921
IA,3346,2008,5102
ID,1464,2008,2188
IL,14724,2008,23511
IN,7395,2008,10792
KS,1738,2008,3172
KY,8137,2008,7940
LA,5481,2008,7112
MA,14506,2008,22302
MD,9219,2008,10108
ME,2632,2008,4718
MI,28248,2008,18518
MN,7644,2008,13125
MO,7687,2008,9929
MS,1961,2008,2044
MT,1417,2008,1407
NC,12411,2008,11998
ND,615,2008,1199
NE,3985,2008,3463
NH,2019,2008,2345
NJ,13832,2008,9251
NM,3015,2008,3685
NV,8726,2008,7137
NY,61125,2008,88855
OH,12912,2008,20110
OK,3846,2008,3952
OR,20653,2008,14156
PA,15378,2008,25340
RI,1196,2008,2432
SC,5660,2008,4946
SD,579,2008,1636
TN,9705,2008,8869
TX,40190,2008,26323
UT,3434,2008,4882
VA,8469,2008,9493
VT,954,2008,1489
WA,21954,2008,23078
WI,5449,2008,8191
WV,2016,2008,2574
WY,751,2008,777
AL,5452,2007,6793
AR,3836,2007,4130
AZ,14646,2007,12352
CA,138986,2007,77865
CO,14225,2007,8524
CT,4482,2007,7406
DE,1061,2007,1519
FL,48069,2007,29428
GA,19639,2007,12161
IA,2734,2007,4381
ID,1749,2007,1915
IL,15487,2007,22678
IN,7358,2007,10036
KS,2111,2007,3418
KY,8061,2007,8180
LA,5494,2007,6780
MA,15127,2007,22548
MD,9628,2007,10339
ME,2638,2007,4312
MI,28295,2007,16674
MN,7323,2007,12584
MO,6247,2007,10847
MS,1377,2007,1877
MT,1150,2007,1527
NC,11802,2007,10850
ND,636,2007,1343
NE,3531,2007,3909
NH,2248,2007,2334
NJ,17314,2007,9635
NM,3015,2007,3154
NV,8642,2007,7076
NY,62601,2007,89802
OH,11264,2007,22674
OK,4221,2007,4043
OR,17590,2007,19921
PA,16220,2007,25725
RI,1372,2007,2399
SC,5660,2007,4742
SD,579,2007,1714
TN,11210,2007,8908
TX,39788,2007,25682
UT,3011,2007,4579
VA,9746,2007,9616
VT,1035,2007,1364
WA,23379,2007,23197
WI,5648,2007,7980
WV,2409,2007,2385
WY,537,2007,796
