State,Overall Homeless,Year
AL,3304,2023
AR,2609,2023
AZ,14237,2023
CA,181399,2023
CO,14439,2023
CT,3015,2023
DE,1245,2023
FL,30756,2023
GA,12294,2023
IA,2653,2023
ID,2298,2023
IL,11947,2023
IN,6017,2023
KS,2636,2023
KY,4766,2023
LA,3169,2023
MA,19141,2023
MD,5865,2023
ME,4258,2023
MI,8997,2023
MN,8393,2023
MO,6708,2023
MS,982,2023
MT,2178,2023
NC,9754,2023
ND,784,2023
NE,2462,2023
NH,2441,2023
NJ,10264,2023
NM,3842,2023
NV,8666,2023
NY,103200,2023
OH,11386,2023
OK,4648,2023
OR,20142,2023
PA,12556,2023
RI,1810,2023
SC,4053,2023
SD,1282,2023
TN,9215,2023
TX,27377,2023
UT,3687,2023
VA,6761,2023
VT,3295,2023
WA,28036,2023
WI,4861,2023
WV,1416,2023
WY,532,2023
AL,3752,2022
AR,2459,2022
AZ,13553,2022
CA,171521,2022
CO,10397,2022
CT,2930,2022
DE,2369,2022
FL,25959,2022
GA,10689,2022
IA,2419,2022
ID,1998,2022
IL,9212,2022
IN,5449,2022
KS,2397,2022
KY,3984,2022
LA,7373,2022
MA,15507,2022
MD,5349,2022
ME,4411,2022
MI,8206,2022
MN,7917,2022
MO,5992,2022
MS,1196,2022
MT,1585,2022
NC,9382,2022
ND,610,2022
NE,2246,2022
NH,1605,2022
NJ,8752,2022
NM,2560,2022
NV,7618,2022
NY,74178,2022
OH,10654,2022
OK,3754,2022
OR,17959,2022
PA,12691,2022
RI,1577,2022
SC,3608,2022
SD,1389,2022
TN,10567,2022
TX,24432,2022
UT,3557,2022
VA,6529,2022
VT,2780,2022
WA,25211,2022
WI,4775,2022
WV,1375,2022
WY,648,2022
AL,2556,2021
AR,2139,2021
AZ,5460,2021
CA,57468,2021
CO,8544,2021
CT,2593,2021
DE,1579,2021
FL,21121,2021
GA,5486,2021
IA,2534,2021
ID,1889,2021
IL,7958,2021
IN,4975,2021
KS,1803,2021
KY,2544,2021
LA,2131,2021
MA,15079,2021
MD,4550,2021
ME,2063,2021
MI,6757,2021
MN,6775,2021
MO,4926,2021
MS,626,2021
MT,1801,2021
NC,7249,2021
ND,548,2021
NE,1935,2021
NH,1491,2021
NJ,8262,2021
NM,2747,2021
NV,7090,2021
NY,78920,2021
OH,7915,2021
OK,2694,2021
OR,9048,2021
PA,10339,2021
RI,1267,2021
SC,3207,2021
SD,817,2021
TN,6823,2021
TX,17295,2021
UT,3565,2021
VA,5812,2021
VT,2591,2021
WA,11511,2021
WI,4237,2021
WV,1138,2021
WY,405,2021
AL,3351,2020
AR,2366,2020
AZ,10979,2020
CA,161548,2020
CO,9846,2020
CT,2905,2020
DE,1165,2020
FL,27487,2020
GA,10234,2020
IA,2647,2020
ID,2315,2020
IL,10431,2020
IN,5625,2020
KS,2449,2020
KY,4011,2020
LA,3173,2020
MA,17975,2020
MD,6360,2020
ME,2097,2020
MI,8638,2020
MN,7940,2020
MO,6527,2020
MS,1107,2020
MT,1545,2020
NC,9280,2020
ND,541,2020
NE,2404,2020
NH,1675,2020
NJ,9662,2020
NM,3333,2020
NV,6900,2020
NY,91271,2020
OH,10655,2020
OK,3932,2020
OR,14655,2020
PA,13375,2020
RI,1104,2020
SC,4287,2020
SD,1058,2020
TN,7256,2020
TX,27229,2020
UT,3131,2020
VA,5957,2020
VT,1110,2020
WA,22923,2020
WI,4515,2020
WV,1341,2020
WY,612,2020
AL,3261,2019
AR,2717,2019
AZ,10007,2019
CA,151278,2019
CO,9619,2019
CT,3033,2019
DE,921,2019
FL,28328,2019
GA,10443,2019
IA,2315,2019
ID,2315,2019
IL,10199,2019
IN,5471,2019
KS,2381,2019
KY,4079,2019
LA,2941,2019
MA,18471,2019
MD,6561,2019
ME,2106,2019
MI,8575,2019
MN,7977,2019
MO,6179,2019
MS,1184,2019
MT,1357,2019
NC,9314,2019
ND,557,2019
NE,2365,2019
NH,1396,2019
NJ,8862,2019
NM,3241,2019
NV,7169,2019
NY,92091,2019
OH,10345,2019
OK,3944,2019
OR,15876,2019
PA,13199,2019
RI,1055,2019
SC,4172,2019
SD,995,2019
TN,7467,2019
TX,25848,2019
UT,2798,2019
VA,5783,2019
VT,1089,2019
WA,21577,2019
WI,4538,2019
WV,1397,2019
WY,548,2019
AL,3434,2018
AR,2712,2018
AZ,9865,2018
CA,129972,2018
CO,10857,2018
CT,3976,2018
DE,1082,2018
FL,31030,2018
GA,9499,2018
IA,2749,2018
ID,2012,2018
IL,10643,2018
IN,5258,2018
KS,2216,2018
KY,3688,2018
LA,3059,2018
MA,20068,2018
MD,7144,2018
ME,2516,2018
MI,8351,2018
MN,7243,2018
MO,5883,2018
MS,1352,2018
MT,1405,2018
NC,9268,2018
ND,542,2018
NE,2421,2018
NH,1450,2018
NJ,9398,2018
NM,2551,2018
NV,7544,2018
NY,91897,2018
OH,10249,2018
OK,3871,2018
OR,14476,2018
PA,13512,2018
RI,1101,2018
SC,3933,2018
SD,1159,2018
TN,7883,2018
TX,25310,2018
UT,2876,2018
VA,5975,2018
VT,1291,2018
WA,22304,2018
WI,4907,2018
WV,1243,2018
WY,639,2018
AL,3793,2017
AR,2467,2017
AZ,8947,2017
CA,131532,2017
CO,10940,2017
CT,3388,2017
DE,994,2017
FL,32190,2017
GA,10174,2017
IA,2756,2017
ID,2037,2017
IL,10798,2017
IN,5438,2017
KS,2287,2017
KY,4025,2017
LA,3305,2017
MA,17565,2017
MD,7247,2017
ME,2280,2017
MI,9051,2017
MN,7668,2017
MO,6037,2017
MS,1472,2017
MT,1529,2017
NC,8962,2017
ND,1089,2017
NE,2501,2017
NH,1456,2017
NJ,8536,2017
NM,2482,2017
NV,7833,2017
NY,89503,2017
OH,10095,2017
OK,4199,2017
OR,13953,2017
PA,14138,2017
RI,1180,2017
SC,3916,2017
SD,943,2017
TN,8309,2017
TX,23548,2017
UT,2852,2017
VA,6067,2017
VT,1225,2017
WA,21112,2017
WI,5027,2017
WV,1309,2017
WY,873,2017
AL,4111,2016
AR,2463,2016
AZ,9707,2016
CA,118142,2016
CO,10550,2016
CT,3902,2016
DE,1070,2016
FL,33559,2016
GA,12909,2016
IA,3064,2016
ID,2247,2016
IL,11590,2016
IN,5798,2016
KS,2255,2016
KY,4237,2016
LA,3994,2016
MA,19608,2016
MD,7689,2016
ME,2241,2016
MI,9316,2016
MN,7341,2016
MO,6194,2016
MS,1738,2016
MT,1418,2016
NC,9559,2016
ND,923,2016
NE,2754,2016
NH,1366,2016
NJ,8895,2016
NM,2263,2016
NV,7398,2016
NY,86352,2016
OH,10404,2016
OK,4107,2016
OR,13238,2016
PA,15339,2016
RI,1160,2016
SC,5051,2016
SD,1072,2016
TN,8779,2016
TX,23122,2016
UT,2807,2016
VA,6268,2016
VT,1117,2016
WA,20827,2016
WI,5685,2016
WV,1387,2016
WY,857,2016
AL,3970,2015
AR,2560,2015
AZ,9896,2015
CA,115738,2015
CO,9953,2015
CT,4047,2015
DE,953,2015
FL,35900,2015
GA,13790,2015
IA,3081,2015
ID,1966,2015
IL,13177,2015
IN,5863,2015
KS,2588,2015
KY,4538,2015
LA,4081,2015
MA,21135,2015
MD,8390,2015
ME,2372,2015
MI,10516,2015
MN,7546,2015
MO,6482,2015
MS,1983,2015
MT,1709,2015
NC,10685,2015
ND,1305,2015
NE,2744,2015
NH,1445,2015
NJ,10098,2015
NM,2629,2015
NV,8743,2015
NY,88250,2015
OH,11182,2015
OK,3777,2015
OR,13226,2015
PA,15421,2015
RI,1111,2015
SC,5354,2015
SD,1036,2015
TN,9123,2015
TX,23678,2015
UT,3025,2015
VA,7001,2015
VT,1523,2015
WA,19419,2015
WI,6057,2015
WV,1835,2015
WY,798,2015
AL,4561,2014
AR,2936,2014
AZ,10495,2014
CA,113952,2014
CO,10028,2014
CT,4450,2014
DE,901,2014
FL,41542,2014
GA,16521,2014
IA,3122,2014
ID,2104,2014
IL,13107,2014
IN,5971,2014
KS,2783,2014
KY,5089,2014
LA,4606,2014
MA,21237,2014
MD,7856,2014
ME,2726,2014
MI,12227,2014
MN,8377,2014
MO,7282,2014
MS,2226,2014
MT,1745,2014
NC,11491,2014
ND,1258,2014
NE,3026,2014
NH,1376,2014
NJ,11671,2014
NM,2746,2014
NV,8582,2014
NY,80590,2014
OH,11823,2014
OK,4191,2014
OR,12164,2014
PA,15333,2014
RI,1190,2014
SC,5057,2014
SD,885,2014
TN,9415,2014
TX,28495,2014
UT,3081,2014
VA,7020,2014
VT,1559,2014
WA,18442,2014
WI,6055,2014
WV,2013,2014
WY,757,2014
AL,4689,2013
AR,3812,2013
AZ,10562,2013
CA,118552,2013
CO,9754,2013
CT,4448,2013
DE,946,2013
FL,47862,2013
GA,16971,2013
IA,3084,2013
ID,1781,2013
IL,13425,2013
IN,6096,2013
KS,2693,2013
KY,5245,2013
LA,5226,2013
MA,19029,2013
MD,8205,2013
ME,3016,2013
MI,11527,2013
MN,8214,2013
MO,8581,2013
MS,2403,2013
MT,1878,2013
NC,12168,2013
ND,2069,2013
NE,3145,2013
NH,1447,2013
NJ,12002,2013
NM,2819,2013
NV,7039,2013
NY,77430,2013
OH,12325,2013
OK,4408,2013
OR,13822,2013
PA,15086,2013
RI,1384,2013
SC,6544,2013
SD,1094,2013
TN,9528,2013
TX,29615,2013
UT,3277,2013
VA,7625,2013
VT,1454,2013
WA,17760,2013
WI,6104,2013
WV,2240,2013
WY,953,2013
AL,5209,2012
AR,4214,2012
AZ,11302,2012
CA,120098,2012
CO,16768,2012
CT,4209,2012
DE,1008,2012
FL,55170,2012
GA,20516,2012
IA,2928,2012
ID,1968,2012
IL,14144,2012
IN,6259,2012
KS,2684,2012
KY,5230,2012
LA,7772,2012
MA,17501,2012
MD,9454,2012
ME,2393,2012
MI,12592,2012
MN,7744,2012
MO,10237,2012
MS,2413,2012
MT,1833,2012
NC,13524,2012
ND,688,2012
NE,3789,2012
NH,1496,2012
NJ,13025,2012
NM,3245,2012
NV,8497,2012
NY,69566,2012
OH,13977,2012
OK,5032,2012
OR,15828,2012
PA,14736,2012
RI,1277,2012
SC,4915,2012
SD,859,2012
TN,9426,2012
TX,34052,2012
UT,3527,2012
VA,8424,2012
VT,1160,2012
WA,20504,2012
WI,6027,2012
WV,2410,2012
WY,1813,2012
AL,5558,2011
AR,3424,2011
AZ,10504,2011
CA,125128,2011
CO,15116,2011
CT,4456,2011
DE,1035,2011
FL,56687,2011
GA,20975,2011
IA,3134,2011
ID,2199,2011
IL,14009,2011
IN,6196,2011
KS,2511,2011
KY,6034,2011
LA,9291,2011
MA,16664,2011
MD,10208,2011
ME,2447,2011
MI,13185,2011
MN,7495,2011
MO,8989,2011
MS,2306,2011
MT,1768,2011
NC,12896,2011
ND,603,2011
NE,3548,2011
NH,1469,2011
NJ,14137,2011
NM,3601,2011
NV,9150,2011
NY,63445,2011
OH,13030,2011
OK,4625,2011
OR,17254,2011
PA,15096,2011
RI,1070,2011
SC,5093,2011
SD,826,2011
TN,9113,2011
TX,36911,2011
UT,3130,2011
VA,8816,2011
VT,1144,2011
WA,20439,2011
WI,5785,2011
WV,2211,2011
WY,1038,2011
AL,6046,2010
AR,2762,2010
AZ,13711,2010
CA,123480,2010
CO,15482,2010
CT,4316,2010
DE,982,2010
FL,57551,2010
GA,19836,2010
IA,3014,2010
ID,2346,2010
IL,14395,2010
IN,6452,2010
KS,2024,2010
KY,6623,2010
LA,12482,2010
MA,16646,2010
MD,10845,2010
ME,2379,2010
MI,13058,2010
MN,7869,2010
MO,8122,2010
MS,2743,2010
MT,1615,2010
NC,12191,2010
ND,799,2010
NE,3877,2010
NH,1574,2010
NJ,13737,2010
NM,3475,2010
NV,11205,2010
NY,65606,2010
OH,12569,2010
OK,5229,2010
OR,19492,2010
PA,14516,2010
RI,1282,2010
SC,4473,2010
SD,731,2010
TN,10276,2010
TX,35121,2010
UT,3284,2010
VA,9080,2010
VT,1220,2010
WA,22878,2010
WI,6333,2010
WV,2264,2010
WY,579,2010
AL,6080,2009
AR,2852,2009
AZ,14721,2009
CA,123678,2009
CO,15268,2009
CT,4605,2009
DE,1130,2009
FL,55599,2009
GA,20360,2009
IA,3380,2009
ID,1939,2009
IL,14055,2009
IN,6984,2009
KS,1892,2009
KY,5999,2009
LA,12504,2009
MA,15482,2009
MD,11698,2009
ME,2444,2009
MI,14005,2009
MN,7718,2009
MO,6959,2009
MS,2797,2009
MT,1196,2009
NC,12918,2009
ND,773,2009
NE,3718,2009
NH,1645,2009
NJ,13169,2009
NM,3475,2009
NV,11089,2009
NY,61067,2009
OH,12700,2009
OK,4838,2009
OR,17309,2009
PA,15096,2009
RI,1607,2009
SC,4473,2009
SD,731,2009
TN,10532,2009
TX,36761,2009
UT,3795,2009
VA,8852,2009
VT,1214,2009
WA,22782,2009
WI,6525,2009
WV,1667,2009
WY,515,2009
AL,5387,2008
AR,3255,2008
AZ,12488,2008
CA,136531,2008
CO,14747,2008
CT,4627,2008
DE,933,2008
FL,50158,2008
GA,19095,2008
IA,3346,2008
ID,1464,2008
IL,14724,2008
IN,7395,2008
KS,1738,2008
KY,8137,2008
LA,5481,2008
MA,14506,2008
MD,9219,2008
ME,2632,2008
MI,28248,2008
MN,7644,2008
MO,7687,2008
MS,1961,2008
MT,1417,2008
NC,12411,2008
ND,615,2008
NE,3985,2008
NH,2019,2008
NJ,13832,2008
NM,3015,2008
NV,8726,2008
NY,61125,2008
OH,12912,2008
OK,3846,2008
OR,20653,2008
PA,15378,2008
RI,1196,2008
SC,5660,2008
SD,579,2008
TN,9705,2008
TX,40190,2008
UT,3434,2008
VA,8469,2008
VT,954,2008
WA,21954,2008
WI,5449,2008
WV,2016,2008
WY,751,2008
AL,5452,2007
AR,3836,2007
AZ,14646,2007
CA,138986,2007
CO,14225,2007
CT,4482,2007
DE,1061,2007
FL,48069,2007
GA,19639,2007
IA,2734,2007
ID,1749,2007
IL,15487,2007
IN,7358,2007
KS,2111,2007
KY,8061,2007
LA,5494,2007
MA,15127,2007
MD,9628,2007
ME,2638,2007
MI,28295,2007
MN,7323,2007
MO,6247,2007
MS,1377,2007
MT,1150,2007
NC,11802,2007
ND,636,2007
NE,3531,2007
NH,2248,2007
NJ,17314,2007
NM,3015,2007
NV,8642,2007
NY,62601,2007
OH,11264,2007
OK,4221,2007
OR,17590,2007
PA,16220,2007
RI,1372,2007
SC,5660,2007
SD,579,2007
TN,11210,2007
TX,39788,2007
UT,3011,2007
VA,9746,2007
VT,1035,2007
WA,23379,2007
WI,5648,2007
WV,2409,2007
WY,537,2007
